MODO,V1,V2,V3,V4
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
DC,4,-10,-23,"14
"
